sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,121;40;Yes;No;3;0,53500;0,87667;0,05728;0,56294;2,22417;class negotiator.group1.Group1@1958282993;class negotiator.group4.Group4@527889429;class negotiator.group11.Group11@982687446;0,87667;0,81250;0,53500
2;0,139;56;Yes;No;3;0,54750;0,90769;0,11412;0,40069;2,26853;class negotiator.group1.Group1@1282658011;class negotiator.group11.Group11@1192342291;class negotiator.group4.Group4@1526974680;0,81333;0,90769;0,54750
3;0,006;12;Yes;No;3;0,64667;1,00000;0,00000;0,55236;2,54667;class negotiator.group11.Group11@1767139627;class negotiator.group1.Group1@616872979;class negotiator.group4.Group4@1880593984;0,64667;1,00000;0,90000
4;0,062;38;Yes;No;3;0,64667;1,00000;0,00000;0,55236;2,54667;class negotiator.group11.Group11@1953659540;class negotiator.group4.Group4@130926150;class negotiator.group1.Group1@1452548522;0,64667;1,00000;0,90000
5;0,077;47;Yes;No;3;0,68000;0,99231;0,00000;0,05076;2,53481;class negotiator.group4.Group4@2001679462;class negotiator.group11.Group11@1895387579;class negotiator.group1.Group1@6620655;0,68000;0,99231;0,86250
6;0,036;30;Yes;No;3;0,62250;0,99231;0,00000;0,49608;2,49481;class negotiator.group4.Group4@501449051;class negotiator.group1.Group1@1128369329;class negotiator.group11.Group11@75225846;0,88000;0,99231;0,62250
1;0,032;45;Yes;No;3;0,52250;0,89231;0,14858;0,52103;2,19481;class negotiator.group1.Group1@365074723;class negotiator.group4.Group4@450089982;class negotiator.group11.Group11@1224922740;0,78000;0,89231;0,52250
2;0,063;49;Yes;No;3;0,66000;1,00000;0,00000;0,31241;2,50667;class negotiator.group1.Group1@1565444208;class negotiator.group11.Group11@1598644459;class negotiator.group4.Group4@1249514796;0,84667;1,00000;0,66000
3;0,023;22;Yes;No;3;0,64667;1,00000;0,00000;0,55236;2,54667;class negotiator.group11.Group11@35103225;class negotiator.group1.Group1@1569383297;class negotiator.group4.Group4@1230920225;0,64667;1,00000;0,90000
4;0,048;41;Yes;No;3;0,65167;0,87500;0,00000;0,46870;2,33917;class negotiator.group11.Group11@349313568;class negotiator.group4.Group4@1840330125;class negotiator.group1.Group1@221443134;0,65167;0,81250;0,87500
5;0,060;48;Yes;No;3;0,64667;1,00000;0,00000;0,00000;2,54667;class negotiator.group4.Group4@1916724312;class negotiator.group11.Group11@2130806784;class negotiator.group1.Group1@1032321316;0,64667;1,00000;0,90000
6;0,040;36;Yes;No;3;0,66000;1,00000;0,00000;0,44858;2,50667;class negotiator.group4.Group4@1287514490;class negotiator.group1.Group1@1210806258;class negotiator.group11.Group11@465739234;0,84667;1,00000;0,66000
1;0,010;20;Yes;No;3;0,53500;0,92667;0,00000;0,58515;2,37417;class negotiator.group1.Group1@630437888;class negotiator.group4.Group4@85269318;class negotiator.group11.Group11@749835077;0,92667;0,91250;0,53500
2;0,059;50;Yes;No;3;0,62250;0,99231;0,00000;0,36264;2,49481;class negotiator.group1.Group1@550585836;class negotiator.group11.Group11@189110729;class negotiator.group4.Group4@108224743;0,88000;0,99231;0,62250
3;0,005;12;Yes;No;3;0,64667;1,00000;0,00000;0,55236;2,54667;class negotiator.group11.Group11@624377180;class negotiator.group1.Group1@1302165018;class negotiator.group4.Group4@481610949;0,64667;1,00000;0,90000
4;0,044;36;Yes;No;3;0,64250;0,88750;0,03360;0,48958;2,37231;class negotiator.group11.Group11@1646538911;class negotiator.group4.Group4@905201935;class negotiator.group1.Group1@954766197;0,64250;0,84231;0,88750
5;0,060;48;Yes;No;3;0,64667;1,00000;0,00000;0,00000;2,54667;class negotiator.group4.Group4@1964018488;class negotiator.group11.Group11@287589779;class negotiator.group1.Group1@1683209903;0,64667;1,00000;0,90000
6;0,035;30;Yes;No;3;0,62250;0,99231;0,00000;0,49608;2,49481;class negotiator.group4.Group4@91826892;class negotiator.group1.Group1@1441315298;class negotiator.group11.Group11@570675326;0,88000;0,99231;0,62250
1;0,019;36;Yes;No;3;0,49750;0,96000;0,00000;0,63508;2,36231;class negotiator.group1.Group1@1103391968;class negotiator.group4.Group4@1187514331;class negotiator.group11.Group11@1987829546;0,96000;0,90481;0,49750
2;0,060;47;Yes;No;3;0,72250;0,89231;0,00000;0,26110;2,41981;class negotiator.group1.Group1@1790031620;class negotiator.group11.Group11@963026517;class negotiator.group4.Group4@2423780;0,80500;0,89231;0,72250
3;0,003;9;Yes;No;3;0,59667;0,90000;0,05728;0,54672;2,39667;class negotiator.group11.Group11@1733928817;class negotiator.group1.Group1@788537529;class negotiator.group4.Group4@828664266;0,59667;0,90000;0,90000
