sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,159;54;Yes;No;3;0,23433;0,90453;0,00000;0,64400;1,97053;class negotiator.group1.Group1@222993194;class negotiator.group5.Group5@487647543;class negotiator.group6.Group6@1094658249;0,83167;0,90453;0,23433
2;0,064;45;Yes;No;3;0,27976;0,88333;0,00000;0,30906;1,93160;class negotiator.group1.Group1@43351666;class negotiator.group6.Group6@614494129;class negotiator.group5.Group5@553967680;0,88333;0,27976;0,76850
3;0,060;55;Yes;No;3;0,36333;0,84492;0,03471;0,50355;2,04325;class negotiator.group6.Group6@1263797546;class negotiator.group1.Group1@2032086792;class negotiator.group5.Group5@1850274903;0,83500;0,84492;0,36333
4;0,054;51;Yes;No;3;0,38500;0,78433;0,00000;0,41149;1,80651;class negotiator.group6.Group6@2007086161;class negotiator.group5.Group5@423980851;class negotiator.group1.Group1@495422011;0,38500;0,63718;0,78433
5;0,064;54;Yes;No;3;0,22111;0,87667;0,04029;0,36368;1,86877;class negotiator.group5.Group5@763639458;class negotiator.group6.Group6@1126096134;class negotiator.group1.Group1@524343127;0,87667;0,22111;0,77100
6;0,055;50;Yes;No;3;0,31433;0,89203;0,00000;0,57322;2,07137;class negotiator.group5.Group5@954871176;class negotiator.group1.Group1@374561001;class negotiator.group6.Group6@972174450;0,86500;0,89203;0,31433
1;0,058;51;Yes;No;3;0,30683;0,89203;0,00000;0,58227;2,08387;class negotiator.group1.Group1@1280394774;class negotiator.group5.Group5@1808823678;class negotiator.group6.Group6@1121049214;0,88500;0,89203;0,30683
2;0,067;52;Yes;No;3;0,56287;0,82583;0,00000;0,05773;2,14037;class negotiator.group1.Group1@1600104567;class negotiator.group6.Group6@19746188;class negotiator.group5.Group5@1161700078;0,75167;0,56287;0,82583
3;0,066;52;Yes;No;3;0,36683;0,97500;0,00000;0,66054;1,81683;class negotiator.group6.Group6@1601730096;class negotiator.group1.Group1@1570208327;class negotiator.group5.Group5@64813906;0,47500;0,97500;0,36683
4;0,061;52;Yes;No;3;0,38500;0,78183;0,00000;0,41818;1,83863;class negotiator.group6.Group6@553109113;class negotiator.group5.Group5@1795637975;class negotiator.group1.Group1@699754534;0,38500;0,67179;0,78183
5;0,051;53;Yes;No;3;0,25476;0,95000;0,00000;0,35743;2,01326;class negotiator.group5.Group5@715395049;class negotiator.group6.Group6@2031132637;class negotiator.group1.Group1@846177347;0,95000;0,25476;0,80850
