sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,082;32;Yes;No;3;0,91949;0,99995;0,08049;0,08049;2,91935;class negotiator.group1.Group1@130529197;class negotiator.group2.Group2@1223410392;class negotiator.group10.Group10@1850021966;0,91949;0,99991;0,99995
2;0,118;37;Yes;No;3;0,78828;0,99995;0,22642;0,22642;2,70772;class negotiator.group1.Group1@693343876;class negotiator.group10.Group10@784255310;class negotiator.group2.Group2@1871853531;0,91949;0,78828;0,99995
3;0,182;40;Yes;No;3;0,68049;0,99995;0,31950;0,31950;2,68034;class negotiator.group10.Group10@610578037;class negotiator.group1.Group1@1308202493;class negotiator.group2.Group2@1021721865;0,68049;0,99991;0,99995
4;0,074;33;Yes;No;3;0,72781;0,99995;0,28375;0,28375;2,64725;class negotiator.group10.Group10@817771317;class negotiator.group2.Group2@387184019;class negotiator.group1.Group1@526356923;0,91949;0,72781;0,99995
5;0,096;34;Yes;No;3;0,72781;0,99999;0,27209;0,27209;2,72775;class negotiator.group2.Group2@913245052;class negotiator.group10.Group10@843963855;class negotiator.group1.Group1@371022550;0,99999;0,72781;0,99995
6;0,259;44;Yes;No;3;0,59999;0,99995;0,39999;0,39999;2,59984;class negotiator.group2.Group2@1241755155;class negotiator.group1.Group1@932808539;class negotiator.group10.Group10@1082491873;0,59999;0,99991;0,99995
1;0,037;32;Yes;No;3;0,91949;0,99995;0,08049;0,08049;2,91935;class negotiator.group1.Group1@1411698235;class negotiator.group2.Group2@1012903589;class negotiator.group10.Group10@767750554;0,91949;0,99991;0,99995
2;0,076;34;Yes;No;3;0,84874;0,99995;0,17126;0,17126;2,76818;class negotiator.group1.Group1@346580466;class negotiator.group10.Group10@1002241398;class negotiator.group2.Group2@1956932765;0,91949;0,84874;0,99995
3;0,172;32;Yes;No;3;0,91949;0,99995;0,08049;0,08049;2,91935;class negotiator.group10.Group10@972789756;class negotiator.group1.Group1@884424481;class negotiator.group2.Group2@1787931280;0,91949;0,99991;0,99995
4;0,069;32;Yes;No;3;0,99991;0,99999;0,00000;0,00000;2,99984;class negotiator.group10.Group10@1982514045;class negotiator.group2.Group2@1904771110;class negotiator.group1.Group1@949319941;0,99999;0,99991;0,99995
5;0,082;34;Yes;No;3;0,99991;0,99999;0,00000;0,00000;2,99984;class negotiator.group2.Group2@599880394;class negotiator.group10.Group10@1901542940;class negotiator.group1.Group1@380557926;0,99999;0,99991;0,99995
