Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,2.25,86,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@139295845,class negotiator.group5.Group5@708833428,class negotiator.group6.Group6@1377912974,0.90518,0.82397,0.94094
2,2.508,90,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@359356777,class negotiator.group6.Group6@214006613,class negotiator.group5.Group5@1529923649,0.9274,0.80075,1
3,1.787,84,Yes,No,3,0.81813,0.934,0,0.13448,2.63401,class negotiator.group6.Group6@730400587,class negotiator.group1.Group1@1982247099,class negotiator.group5.Group5@1180096768,0.81813,0.934,0.88188
4,1.475,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@1150526503,class negotiator.group5.Group5@658722977,class negotiator.group1.Group1@1680052122,0.8385,0.89365,1
5,2.175,96,Yes,No,3,0.71693,0.92987,0.02484,0.19074,2.5579,class negotiator.group5.Group5@349029575,class negotiator.group6.Group6@1294395621,class negotiator.group1.Group1@1885175736,0.9111,0.71693,0.92987
6,2.782,111,Yes,No,3,0.68835,0.87142,0.18716,0.2974,2.3193,class negotiator.group5.Group5@142238070,class negotiator.group1.Group1@1928030018,class negotiator.group6.Group6@150001722,0.68835,0.87142,0.75952
1,1.873,96,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@323737123,class negotiator.group5.Group5@1214342381,class negotiator.group6.Group6@1629084628,0.9274,0.80075,1
2,1.776,82,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@1864822469,class negotiator.group6.Group6@571594700,class negotiator.group5.Group5@1637124463,0.90518,0.82397,0.94094
3,1.969,93,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@1325152754,class negotiator.group1.Group1@385136174,class negotiator.group5.Group5@980925579,0.77368,0.98045,1
4,1.273,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@2137883995,class negotiator.group5.Group5@1349587181,class negotiator.group1.Group1@1661442315,0.8385,0.89365,1
5,1.548,74,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group5.Group5@1687413252,class negotiator.group6.Group6@2009592976,class negotiator.group1.Group1@803828989,0.86258,0.88755,1
6,1.473,85,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group5.Group5@1887006666,class negotiator.group1.Group1@184627203,class negotiator.group6.Group6@1126835847,0.84036,0.91077,0.94094
1,1.544,83,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@662764675,class negotiator.group5.Group5@482136198,class negotiator.group6.Group6@507472442,0.90518,0.82397,0.94094
2,1.954,83,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@204700004,class negotiator.group6.Group6@754444421,class negotiator.group5.Group5@1454716285,0.90518,0.82397,0.94094
3,1.881,94,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@868150059,class negotiator.group1.Group1@609307745,class negotiator.group5.Group5@930167726,0.77368,0.98045,1
4,1.344,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@294306158,class negotiator.group5.Group5@887307120,class negotiator.group1.Group1@1640194398,0.8385,0.89365,1
5,2.251,93,Yes,No,3,0.79591,0.95722,0,0.11308,2.69407,class negotiator.group5.Group5@1579692607,class negotiator.group6.Group6@435034405,class negotiator.group1.Group1@880511443,0.79591,0.95722,0.94094
6,1.747,99,Yes,No,3,0.73292,0.88997,0.10921,0.21409,2.45255,class negotiator.group5.Group5@1313396627,class negotiator.group1.Group1@1366212015,class negotiator.group6.Group6@950051222,0.73292,0.88997,0.82965
1,1.442,96,Yes,No,3,0.62403,1,0,0.30536,2.5539,class negotiator.group1.Group1@1350406720,class negotiator.group5.Group5@1476469651,class negotiator.group6.Group6@2091286265,1,0.62403,0.92987
2,1.391,98,Yes,No,3,0.71084,0.93518,0,0.20351,2.57588,class negotiator.group1.Group1@1102568682,class negotiator.group6.Group6@2112137486,class negotiator.group5.Group5@740823194,0.93518,0.71084,0.92987
3,1.426,91,Yes,No,3,0.75423,0.92748,0.09813,0.22432,2.4894,class negotiator.group6.Group6@1672933968,class negotiator.group1.Group1@471413312,class negotiator.group5.Group5@1148011540,0.75423,0.92748,0.80769
4,1.011,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@682438851,class negotiator.group5.Group5@2094887924,class negotiator.group1.Group1@696505629,0.8385,0.89365,1
5,1.312,73,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group5.Group5@123763165,class negotiator.group6.Group6@1183476442,class negotiator.group1.Group1@1373631276,0.8385,0.89365,1
6,1.565,92,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group5.Group5@1724116791,class negotiator.group1.Group1@1659493539,class negotiator.group6.Group6@1998628510,0.86258,0.88755,1
1,1.883,96,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1506307525,class negotiator.group5.Group5@537627548,class negotiator.group6.Group6@212551674,0.9274,0.80075,1
2,1.804,94,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@2118980775,class negotiator.group6.Group6@1693579502,class negotiator.group5.Group5@416991367,0.9274,0.80075,1
3,1.855,93,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@1318635761,class negotiator.group1.Group1@1483085225,class negotiator.group5.Group5@867938499,0.77368,0.98045,1
4,1.255,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@2112608451,class negotiator.group5.Group5@1966889167,class negotiator.group1.Group1@488624284,0.8385,0.89365,1
5,1.832,95,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group5.Group5@1942767188,class negotiator.group6.Group6@1346549038,class negotiator.group1.Group1@1202677193,0.86258,0.88755,1
6,1.87,94,Yes,No,3,0.70781,0.8918,0.14568,0.25561,2.39623,class negotiator.group5.Group5@618120848,class negotiator.group1.Group1@901302968,class negotiator.group6.Group6@1880548068,0.70781,0.8918,0.79662
1,1.734,93,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1286291458,class negotiator.group5.Group5@1448275009,class negotiator.group6.Group6@625738041,0.9274,0.80075,1
2,2.15,111,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1653266102,class negotiator.group6.Group6@1949770165,class negotiator.group5.Group5@902232982,0.9274,0.80075,1
3,1.858,96,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@1883660766,class negotiator.group1.Group1@1145910790,class negotiator.group5.Group5@163220915,0.77368,0.98045,1
4,1.33,65,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@186830169,class negotiator.group5.Group5@1210652018,class negotiator.group1.Group1@1710876535,0.8385,0.89365,1
5,2.092,94,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group5.Group5@947071342,class negotiator.group6.Group6@623272764,class negotiator.group1.Group1@631529583,0.77368,0.98045,1
6,1.792,96,Yes,No,3,0.70781,0.8918,0.14568,0.25561,2.39623,class negotiator.group5.Group5@777357629,class negotiator.group1.Group1@947662920,class negotiator.group6.Group6@1054705712,0.70781,0.8918,0.79662
1,1.798,93,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1446440313,class negotiator.group5.Group5@1420331747,class negotiator.group6.Group6@227479118,0.9274,0.80075,1
2,1.618,82,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@1606519751,class negotiator.group6.Group6@1056831587,class negotiator.group5.Group5@772969165,0.90518,0.82397,0.94094
3,1.784,92,Yes,No,3,0.79683,0.86675,0.07481,0.15046,2.52748,class negotiator.group6.Group6@1528435775,class negotiator.group1.Group1@148251432,class negotiator.group5.Group5@1496968369,0.79683,0.86391,0.86675
4,1.253,64,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@1661442465,class negotiator.group5.Group5@1756877330,class negotiator.group1.Group1@1363239759,0.8385,0.89365,1
5,1.627,86,Yes,No,3,0.79423,0.92581,0.05339,0.11922,2.58354,class negotiator.group5.Group5@1200308658,class negotiator.group6.Group6@413012595,class negotiator.group1.Group1@1324311600,0.8635,0.79423,0.92581
6,1.713,92,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group5.Group5@342769081,class negotiator.group1.Group1@167077975,class negotiator.group6.Group6@1636888208,0.84036,0.91077,0.94094
1,2.088,100,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1424738422,class negotiator.group5.Group5@822977703,class negotiator.group6.Group6@320394497,0.9274,0.80075,1
2,2.38,113,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1964662172,class negotiator.group6.Group6@2134414129,class negotiator.group5.Group5@600582381,0.9274,0.80075,1
3,1.899,91,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@1990807880,class negotiator.group1.Group1@1366824124,class negotiator.group5.Group5@1784849593,0.77368,0.98045,1
4,1.424,65,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@673935960,class negotiator.group5.Group5@338969860,class negotiator.group1.Group1@91778762,0.8385,0.89365,1
5,1.832,95,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group5.Group5@2059425200,class negotiator.group6.Group6@151671042,class negotiator.group1.Group1@1067460930,0.77368,0.98045,1
6,2.007,95,Yes,No,3,0.73478,0.9071,0.08785,0.17059,2.53059,class negotiator.group5.Group5@2045251138,class negotiator.group1.Group1@33401114,class negotiator.group6.Group6@1512340070,0.73478,0.9071,0.88872
1,1.354,89,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1685107289,class negotiator.group5.Group5@1565735563,class negotiator.group6.Group6@831188290,0.9274,0.80075,1
2,2.01,103,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group1.Group1@1216628319,class negotiator.group6.Group6@696768364,class negotiator.group5.Group5@1833183157,0.86258,0.88755,1
3,1.282,90,Yes,No,3,0.77646,0.90426,0.05339,0.15954,2.54746,class negotiator.group6.Group6@188884898,class negotiator.group1.Group1@1637756459,class negotiator.group5.Group5@1983228355,0.77646,0.90426,0.86675
4,0.907,65,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@981483839,class negotiator.group5.Group5@551882490,class negotiator.group1.Group1@815436731,0.8385,0.89365,1
5,1.095,77,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group5.Group5@1807372250,class negotiator.group6.Group6@1393254955,class negotiator.group1.Group1@1536242798,0.86258,0.88755,1
6,1.882,104,Yes,No,3,0.79393,0.8751,0.09473,0.20077,2.48077,class negotiator.group5.Group5@1072849900,class negotiator.group1.Group1@101658455,class negotiator.group6.Group6@245178247,0.79393,0.8751,0.81175
1,1.77,93,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1560111230,class negotiator.group5.Group5@1883016462,class negotiator.group6.Group6@263610825,0.9274,0.80075,1
2,1.982,98,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1764832927,class negotiator.group6.Group6@1580735839,class negotiator.group5.Group5@1257811819,0.9274,0.80075,1
3,1.923,94,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group6.Group6@1987852244,class negotiator.group1.Group1@370766410,class negotiator.group5.Group5@148199219,0.77368,0.98045,1
4,1.333,65,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group6.Group6@131674805,class negotiator.group5.Group5@277636877,class negotiator.group1.Group1@1297800308,0.8385,0.89365,1
5,1.806,87,Yes,No,3,0.8143,0.92987,0.08113,0.10019,2.57891,class negotiator.group5.Group5@1863607843,class negotiator.group6.Group6@563523054,class negotiator.group1.Group1@1389433566,0.8143,0.83474,0.92987
6,2.163,95,Yes,No,3,0.68558,0.91503,0.09944,0.23003,2.45629,class negotiator.group5.Group5@1232326028,class negotiator.group1.Group1@85626879,class negotiator.group6.Group6@293059439,0.68558,0.91503,0.85568
