Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,2.276,102,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@698223553,class negotiator.group5.Group5@660205698,class negotiator.group6.Group6@593911985,0.85345,0.69495,0.67173
2,2.559,113,Yes,No,3,0.54856,0.8935,0,0.30658,2.09695,class negotiator.group1.Group1@1717893817,class negotiator.group6.Group6@1065166263,class negotiator.group5.Group5@1472732986,0.8935,0.65489,0.54856
3,2.458,118,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group6.Group6@1195089562,class negotiator.group1.Group1@105580022,class negotiator.group5.Group5@1355663381,0.62854,0.91987,0.5355
4,2.624,115,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group6.Group6@1206594809,class negotiator.group5.Group5@1547679184,class negotiator.group1.Group1@33914644,0.58123,0.66865,0.87808
5,2.876,128,Yes,No,3,0.51618,0.80376,0.08513,0.38436,1.88618,class negotiator.group5.Group5@1010205217,class negotiator.group6.Group6@572845498,class negotiator.group1.Group1@60054811,0.56624,0.51618,0.80376
6,2.772,139,Yes,No,3,0.54856,0.81335,0,0.13557,2.09695,class negotiator.group5.Group5@717254562,class negotiator.group1.Group1@577750865,class negotiator.group6.Group6@665036699,0.73504,0.81335,0.54856
1,2.363,115,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@117332721,class negotiator.group5.Group5@795515123,class negotiator.group6.Group6@1944291072,0.85345,0.69495,0.67173
2,2.338,118,Yes,No,3,0.54856,0.8935,0,0.30658,2.09695,class negotiator.group1.Group1@1229355416,class negotiator.group6.Group6@1033608083,class negotiator.group5.Group5@1179464147,0.8935,0.65489,0.54856
3,2.293,114,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group6.Group6@695821725,class negotiator.group1.Group1@1393116051,class negotiator.group5.Group5@850333026,0.62854,0.91987,0.5355
4,3.548,160,Yes,No,3,0.43378,0.83429,0.15767,0.34232,1.97139,class negotiator.group6.Group6@490959181,class negotiator.group5.Group5@2138356469,class negotiator.group1.Group1@1719167827,0.43378,0.70332,0.83429
5,2.786,126,Yes,No,3,0.48935,0.87997,0,0.43162,1.96239,class negotiator.group5.Group5@745975523,class negotiator.group6.Group6@708410169,class negotiator.group1.Group1@1891688345,0.59307,0.48935,0.87997
6,2.327,120,Yes,No,3,0.57693,0.8525,0.01847,0.14256,2.01794,class negotiator.group5.Group5@1439109153,class negotiator.group1.Group1@1281342924,class negotiator.group6.Group6@769583053,0.58851,0.8525,0.57693
1,2.576,123,Yes,No,3,0.50751,0.93355,0,0.37525,2.05588,class negotiator.group1.Group1@1528089080,class negotiator.group5.Group5@918523043,class negotiator.group6.Group6@130016869,0.93355,0.61482,0.50751
