Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,3.22,122,Yes,No,3,0.37128,0.8671,0,0.72992,1.91966,class negotiator.group1.Group1@1158488027,class negotiator.group2.Group2@1271589130,class negotiator.group11.Group11@1341486251,0.8671,0.68127,0.37128
2,4.657,173,Yes,No,3,0.57614,0.7533,0.07022,0.18087,2.04082,class negotiator.group1.Group1@184017713,class negotiator.group11.Group11@657049203,class negotiator.group2.Group2@993519909,0.7533,0.71137,0.57614
3,3.36,127,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@1594069700,class negotiator.group1.Group1@1792547966,class negotiator.group2.Group2@53171464,0.69499,0.85342,0.67173
4,3.23,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@131201673,class negotiator.group2.Group2@1141366021,class negotiator.group1.Group1@1855324695,0.61493,0.71868,0.83744
5,2.762,110,Yes,No,3,0.46015,0.87808,0.06032,0.75704,2.04423,class negotiator.group2.Group2@936151512,class negotiator.group11.Group11@1061238810,class negotiator.group1.Group1@1171535106,0.706,0.46015,0.87808
6,4.174,174,Yes,No,3,0.46069,0.8439,0.16252,0.58364,1.79272,class negotiator.group2.Group2@453775637,class negotiator.group1.Group1@1222494693,class negotiator.group11.Group11@2129312012,0.46069,0.8439,0.48813
1,3.495,119,Yes,No,3,0.57614,0.8862,0,0.56427,2.04081,class negotiator.group1.Group1@452128758,class negotiator.group2.Group2@1636684036,class negotiator.group11.Group11@1194966577,0.8862,0.57847,0.57614
2,4.038,173,Yes,No,3,0.45298,0.75966,0.12428,0.32546,1.83391,class negotiator.group1.Group1@1815108867,class negotiator.group11.Group11@1630573100,class negotiator.group2.Group2@1857710847,0.75966,0.62127,0.45298
3,3.23,127,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@1685621039,class negotiator.group1.Group1@181274854,class negotiator.group2.Group2@1871333985,0.69499,0.85342,0.67173
4,3.537,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@1381644541,class negotiator.group2.Group2@1917579880,class negotiator.group1.Group1@137907711,0.61493,0.71868,0.83744
5,3.137,115,Yes,No,3,0.47657,0.86378,0.02427,0.72099,1.9462,class negotiator.group2.Group2@903661531,class negotiator.group11.Group11@918723661,class negotiator.group1.Group1@456650831,0.60586,0.47657,0.86378
6,4.686,174,Yes,No,3,0.3259,0.8439,0.2823,0.64528,1.61729,class negotiator.group2.Group2@1361711459,class negotiator.group1.Group1@43771522,class negotiator.group11.Group11@546910824,0.3259,0.8439,0.44749
1,2.906,120,Yes,No,3,0.48855,0.85388,0,0.62696,2.03693,class negotiator.group1.Group1@76024764,class negotiator.group2.Group2@86553415,class negotiator.group11.Group11@1482357398,0.85388,0.6945,0.48855
2,3.017,127,Yes,No,3,0.67173,0.85345,0,0.52569,2.22013,class negotiator.group1.Group1@834242951,class negotiator.group11.Group11@1973985767,class negotiator.group2.Group2@903517854,0.85345,0.69495,0.67173
3,3.112,127,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@987448569,class negotiator.group1.Group1@1196623764,class negotiator.group2.Group2@2009346304,0.69499,0.85342,0.67173
4,3.202,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@382416640,class negotiator.group2.Group2@1993819564,class negotiator.group1.Group1@694653765,0.61493,0.71868,0.83744
5,2.571,115,Yes,No,3,0.47749,0.87572,0.0427,0.74454,2.06553,class negotiator.group2.Group2@2138958680,class negotiator.group11.Group11@809607296,class negotiator.group1.Group1@2096593153,0.71233,0.47749,0.87572
6,4.544,174,Yes,No,3,0.61171,0.8138,0,0.50955,2.16011,class negotiator.group2.Group2@1763651681,class negotiator.group1.Group1@2041065777,class negotiator.group11.Group11@1154534180,0.7346,0.8138,0.61171
1,2.95,115,Yes,No,3,0.54856,0.8935,0,0.59614,2.09695,class negotiator.group1.Group1@52993486,class negotiator.group2.Group2@321141234,class negotiator.group11.Group11@733852446,0.8935,0.65489,0.54856
2,2.916,127,Yes,No,3,0.67173,0.85345,0,0.52569,2.22013,class negotiator.group1.Group1@1769395366,class negotiator.group11.Group11@788001451,class negotiator.group2.Group2@481211694,0.85345,0.69495,0.67173
3,3.069,127,Yes,No,3,0.5355,0.91987,0,0.55042,2.08391,class negotiator.group11.Group11@1515045094,class negotiator.group1.Group1@88210669,class negotiator.group2.Group2@347219012,0.62854,0.91987,0.5355
4,3.201,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@2103239737,class negotiator.group2.Group2@1226981764,class negotiator.group1.Group1@1125018329,0.61493,0.71868,0.83744
5,3.35,109,Yes,No,3,0.47749,0.87572,0.0427,0.74454,2.06553,class negotiator.group2.Group2@1176237816,class negotiator.group11.Group11@1551679278,class negotiator.group1.Group1@126479172,0.71233,0.47749,0.87572
6,4.664,174,Yes,No,3,0.45377,0.75966,0.13704,0.58526,1.81473,class negotiator.group2.Group2@937497038,class negotiator.group1.Group1@777293308,class negotiator.group11.Group11@401130199,0.6013,0.75966,0.45377
1,3.479,119,Yes,No,3,0.39296,0.88664,0.07274,0.71243,1.85762,class negotiator.group1.Group1@1601427621,class negotiator.group2.Group2@1612963300,class negotiator.group11.Group11@1787987825,0.88664,0.57802,0.39296
2,2.904,127,Yes,No,3,0.67173,0.85345,0,0.52569,2.22013,class negotiator.group1.Group1@993861262,class negotiator.group11.Group11@2051690428,class negotiator.group2.Group2@83390956,0.85345,0.69495,0.67173
3,3.059,127,Yes,No,3,0.49483,0.89348,0.10641,0.63697,1.93687,class negotiator.group11.Group11@2049955597,class negotiator.group1.Group1@699760552,class negotiator.group2.Group2@27976333,0.49483,0.89348,0.54856
4,3.715,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@1176142917,class negotiator.group2.Group2@1116320820,class negotiator.group1.Group1@1078189042,0.61493,0.71868,0.83744
5,2.935,106,Yes,No,3,0.37005,0.87684,0.12916,0.82419,1.95924,class negotiator.group2.Group2@380364797,class negotiator.group11.Group11@75592129,class negotiator.group1.Group1@187059569,0.71235,0.37005,0.87684
6,4.531,174,Yes,No,3,0.44749,0.8439,0.15875,0.61793,1.7774,class negotiator.group2.Group2@1441041324,class negotiator.group1.Group1@473500386,class negotiator.group11.Group11@322531293,0.48601,0.8439,0.44749
1,3.114,124,Yes,No,3,0.41234,0.87985,0,0.6995,1.96075,class negotiator.group1.Group1@718140686,class negotiator.group2.Group2@1535484432,class negotiator.group11.Group11@264228248,0.87985,0.66857,0.41234
2,4.13,173,Yes,No,3,0.51803,0.76105,0.11809,0.32692,1.85163,class negotiator.group1.Group1@1470110773,class negotiator.group11.Group11@310437450,class negotiator.group2.Group2@1692615464,0.76105,0.57255,0.51803
3,2.956,109,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@356618529,class negotiator.group1.Group1@1121412616,class negotiator.group2.Group2@1475377838,0.69499,0.85342,0.67173
4,2.971,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@695503227,class negotiator.group2.Group2@816176621,class negotiator.group1.Group1@1228610263,0.61493,0.71868,0.83744
5,3.058,114,Yes,No,3,0.47749,0.87572,0.04118,0.7311,1.98548,class negotiator.group2.Group2@499792980,class negotiator.group11.Group11@276316615,class negotiator.group1.Group1@237812880,0.63228,0.47749,0.87572
6,3.966,174,Yes,No,3,0.39279,0.777,0.26789,0.63517,1.58212,class negotiator.group2.Group2@525398560,class negotiator.group1.Group1@1404327170,class negotiator.group11.Group11@17846474,0.39279,0.777,0.41234
1,3.373,115,Yes,No,3,0.50751,0.93355,0,0.64873,2.05588,class negotiator.group1.Group1@1790161988,class negotiator.group2.Group2@1919589056,class negotiator.group11.Group11@59235786,0.93355,0.61482,0.50751
2,3.749,168,Yes,No,3,0.25125,0.78786,0,0.34008,1.79968,class negotiator.group1.Group1@1198960,class negotiator.group11.Group11@2004143778,class negotiator.group2.Group2@1366222358,0.76056,0.78786,0.25125
3,2.568,127,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@1815746684,class negotiator.group1.Group1@2128709440,class negotiator.group2.Group2@791762912,0.69499,0.85342,0.67173
4,3.36,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@164186694,class negotiator.group2.Group2@889998075,class negotiator.group1.Group1@1202000029,0.61493,0.71868,0.83744
5,2.794,119,Yes,No,3,0.47749,0.87572,0.0427,0.74454,2.06553,class negotiator.group2.Group2@1645134302,class negotiator.group11.Group11@567684259,class negotiator.group1.Group1@1994056176,0.71233,0.47749,0.87572
6,3.998,172,Yes,No,3,0.65496,0.78605,0,0.38664,2.15416,class negotiator.group2.Group2@429143630,class negotiator.group1.Group1@226493587,class negotiator.group11.Group11@497255092,0.65496,0.78605,0.71315
1,2.706,117,Yes,No,3,0.5355,0.9199,0,0.61987,2.0839,class negotiator.group1.Group1@1020732817,class negotiator.group2.Group2@71909891,class negotiator.group11.Group11@165702277,0.9199,0.6285,0.5355
2,4.636,165,Yes,No,3,0.35232,0.78742,0,0.25843,1.90074,class negotiator.group1.Group1@148369199,class negotiator.group11.Group11@229226505,class negotiator.group2.Group2@1128180453,0.761,0.78742,0.35232
3,3.582,127,Yes,No,3,0.67173,0.85342,0,0.52569,2.22013,class negotiator.group11.Group11@1224758341,class negotiator.group1.Group1@2115597533,class negotiator.group2.Group2@1051779815,0.69499,0.85342,0.67173
4,3.073,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@141499990,class negotiator.group2.Group2@1124516194,class negotiator.group1.Group1@1980561987,0.61493,0.71868,0.83744
5,2.756,111,Yes,No,3,0.51018,0.87808,0,0.7303,2.12796,class negotiator.group2.Group2@1335003583,class negotiator.group11.Group11@1065333685,class negotiator.group1.Group1@1250388201,0.7397,0.51018,0.87808
6,4.199,174,Yes,No,3,0.50751,0.77508,0.1148,0.54321,1.89583,class negotiator.group2.Group2@1531464984,class negotiator.group1.Group1@5044415,class negotiator.group11.Group11@1114374424,0.61324,0.77508,0.50751
1,2.814,118,Yes,No,3,0.67173,0.85345,0,0.48895,2.22013,class negotiator.group1.Group1@861796764,class negotiator.group2.Group2@719606370,class negotiator.group11.Group11@1292553857,0.85345,0.69495,0.67173
2,4.883,171,Yes,No,3,0.48855,0.77463,0,0.2107,2.03696,class negotiator.group1.Group1@1875669753,class negotiator.group11.Group11@864155525,class negotiator.group2.Group2@998167765,0.77378,0.77463,0.48855
3,3.263,126,Yes,No,3,0.5355,0.91987,0,0.55042,2.08391,class negotiator.group11.Group11@547056637,class negotiator.group1.Group1@751607469,class negotiator.group2.Group2@273508718,0.62854,0.91987,0.5355
4,3.219,127,Yes,No,3,0.61493,0.83744,0,0.62816,2.17105,class negotiator.group11.Group11@1566101454,class negotiator.group2.Group2@652710683,class negotiator.group1.Group1@1846954140,0.61493,0.71868,0.83744
5,2.574,113,Yes,No,3,0.46015,0.87808,0.06032,0.75704,2.04423,class negotiator.group2.Group2@359356969,class negotiator.group11.Group11@240566773,class negotiator.group1.Group1@347337839,0.706,0.46015,0.87808
6,4.165,174,Yes,No,3,0.5355,0.7614,0.12015,0.51548,1.9238,class negotiator.group2.Group2@1211964621,class negotiator.group1.Group1@130596337,class negotiator.group11.Group11@1059687828,0.62689,0.7614,0.5355
1,3.261,120,Yes,No,3,0.50751,0.93355,0,0.64873,2.05588,class negotiator.group1.Group1@875693714,class negotiator.group2.Group2@340377517,class negotiator.group11.Group11@1445769184,0.93355,0.61482,0.50751
