Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,2.198,105,Yes,No,3,0.54815,0.89985,0,0.3749,2.01279,class negotiator.group1.Group1@801777153,class negotiator.group5.Group5@737519392,class negotiator.group8.Group8@1861692474,0.89985,0.56479,0.54815
2,2.09,106,Yes,No,3,0.54815,0.89985,0,0.3749,2.01279,class negotiator.group1.Group1@1607713533,class negotiator.group8.Group8@1503244928,class negotiator.group5.Group5@249090933,0.89985,0.56479,0.54815
3,2.209,115,Yes,No,3,0.53488,0.85342,0.11124,0.16011,2.06002,class negotiator.group8.Group8@394346644,class negotiator.group1.Group1@1443151027,class negotiator.group5.Group5@1117591873,0.53488,0.85342,0.67173
4,2.196,104,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@177613084,class negotiator.group5.Group5@395201850,class negotiator.group1.Group1@1687984732,0.58123,0.66865,0.87808
5,2.538,120,Yes,No,3,0.47657,0.86378,0.02427,0.43225,1.9462,class negotiator.group5.Group5@1315033247,class negotiator.group8.Group8@1963253382,class negotiator.group1.Group1@268872321,0.60586,0.47657,0.86378
6,2.566,129,Yes,No,3,0.50751,0.93355,0,0.19951,2.05594,class negotiator.group5.Group5@281578663,class negotiator.group1.Group1@1357726473,class negotiator.group8.Group8@55461756,0.61488,0.93355,0.50751
1,2.305,116,Yes,No,3,0.50751,0.93355,0,0.37525,2.05588,class negotiator.group1.Group1@649701174,class negotiator.group5.Group5@1916844786,class negotiator.group8.Group8@1208961720,0.93355,0.61482,0.50751
2,2.075,109,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@965443938,class negotiator.group8.Group8@1390416242,class negotiator.group5.Group5@620803830,0.85345,0.69495,0.67173
3,1.733,97,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group8.Group8@401109604,class negotiator.group1.Group1@1913479530,class negotiator.group5.Group5@548701656,0.62854,0.91987,0.5355
4,2.702,128,Yes,No,3,0.44009,0.75491,0.17272,0.33138,1.85368,class negotiator.group8.Group8@10690622,class negotiator.group5.Group5@1418463516,class negotiator.group1.Group1@1301492950,0.44009,0.65868,0.75491
5,2.423,117,Yes,No,3,0.48014,0.87808,0.1128,0.3793,1.97683,class negotiator.group5.Group5@1225646841,class negotiator.group8.Group8@1354144054,class negotiator.group1.Group1@1682357973,0.48014,0.61861,0.87808
6,2.092,108,Yes,No,3,0.67173,0.85342,0,0,2.22013,class negotiator.group5.Group5@816251663,class negotiator.group1.Group1@379266504,class negotiator.group8.Group8@1912627460,0.69499,0.85342,0.67173
1,2.238,108,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@601999751,class negotiator.group5.Group5@735447439,class negotiator.group8.Group8@1680657496,0.85345,0.69495,0.67173
2,2.044,109,Yes,No,3,0.5892,0.8598,0,0.30945,2.05386,class negotiator.group1.Group1@357931416,class negotiator.group8.Group8@953538372,class negotiator.group5.Group5@592718752,0.8598,0.60485,0.5892
3,1.83,100,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group8.Group8@563641758,class negotiator.group1.Group1@406370668,class negotiator.group5.Group5@239149784,0.62854,0.91987,0.5355
4,2.128,101,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@871550575,class negotiator.group5.Group5@883064107,class negotiator.group1.Group1@1756947709,0.58123,0.66865,0.87808
5,2.03,99,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group5.Group5@1638206490,class negotiator.group8.Group8@1149319159,class negotiator.group1.Group1@1676493161,0.58123,0.66865,0.87808
6,2.215,113,Yes,No,3,0.54815,0.88352,0.03402,0.17067,2.01285,class negotiator.group5.Group5@1289604837,class negotiator.group1.Group1@89251512,class negotiator.group8.Group8@1218604906,0.58119,0.88352,0.54815
1,2.252,109,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@1103993118,class negotiator.group5.Group5@1673911588,class negotiator.group8.Group8@1760197626,0.85345,0.69495,0.67173
2,2.084,110,Yes,No,3,0.58752,0.85347,0,0.32016,2.03098,class negotiator.group1.Group1@870879410,class negotiator.group8.Group8@515959480,class negotiator.group5.Group5@1394682041,0.85347,0.58752,0.58999
3,1.696,95,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group8.Group8@1747958924,class negotiator.group1.Group1@532012091,class negotiator.group5.Group5@112816223,0.62854,0.91987,0.5355
4,1.999,98,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@1552413905,class negotiator.group5.Group5@1230628881,class negotiator.group1.Group1@2017243397,0.58123,0.66865,0.87808
5,2.722,125,Yes,No,3,0.46015,0.87808,0.06032,0.44425,2.04423,class negotiator.group5.Group5@902434261,class negotiator.group8.Group8@1451771585,class negotiator.group1.Group1@1343694177,0.706,0.46015,0.87808
6,2.366,119,Yes,No,3,0.57614,0.86984,0,0.13941,2.04082,class negotiator.group5.Group5@1295909631,class negotiator.group1.Group1@679418408,class negotiator.group8.Group8@1012264872,0.59484,0.86984,0.57614
1,2.507,127,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@1434511726,class negotiator.group5.Group5@1754542299,class negotiator.group8.Group8@954911163,0.85345,0.69495,0.67173
2,1.812,99,Yes,No,3,0.57614,0.8862,0,0.34828,2.04081,class negotiator.group1.Group1@735140257,class negotiator.group8.Group8@2034769452,class negotiator.group5.Group5@815004470,0.8862,0.57847,0.57614
3,1.802,98,Yes,No,3,0.67173,0.85342,0,0,2.22013,class negotiator.group8.Group8@1591364494,class negotiator.group1.Group1@2145852837,class negotiator.group5.Group5@1189594379,0.69499,0.85342,0.67173
