sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;3,529;98;Yes;No;3;0,58140;0,88419;0,05694;0,64039;2,14594;class negotiator.group1.Group1@700549859;class negotiator.group5.Group5@654733739;class negotiator.group11.Group11@590995859;0,88419;0,68036;0,58140
2;3,030;127;Yes;No;3;0,74065;0,86796;0,00000;0,36745;2,42000;class negotiator.group1.Group1@1715174288;class negotiator.group11.Group11@1133011750;class negotiator.group5.Group5@1469569493;0,86796;0,74065;0,81139
3;5,073;164;Yes;No;3;0,80093;0,82445;0,00000;0,25661;2,44686;class negotiator.group11.Group11@1003397069;class negotiator.group1.Group1@102008031;class negotiator.group5.Group5@101009000;0,82147;0,80093;0,82445
4;3,816;127;Yes;No;3;0,78132;0,86061;0,00000;0,43196;2,43708;class negotiator.group11.Group11@550155456;class negotiator.group5.Group5@39517818;class negotiator.group1.Group1@784391775;0,79516;0,78132;0,86061
5;4,301;112;Yes;No;3;0,56378;0,93624;0,00000;0,50916;2,11965;class negotiator.group5.Group5@1782677653;class negotiator.group11.Group11@525878697;class negotiator.group1.Group1@1252315414;0,56378;0,61963;0,93624
6;5,856;131;Yes;No;3;0,62195;0,87649;0,00000;0,69075;2,34669;class negotiator.group5.Group5@1656675387;class negotiator.group1.Group1@69053905;class negotiator.group11.Group11@1496700406;0,84826;0,87649;0,62195
1;3,011;95;Yes;No;3;0,57273;0,92106;0,00000;0,73887;2,32961;class negotiator.group1.Group1@905286567;class negotiator.group5.Group5@566156838;class negotiator.group11.Group11@1210359013;0,92106;0,83582;0,57273
2;6,918;172;Yes;No;3;0,74065;0,86796;0,00000;0,22886;2,42000;class negotiator.group1.Group1@1061775986;class negotiator.group11.Group11@641253015;class negotiator.group5.Group5@1897925528;0,86796;0,74065;0,81139
3;5,911;172;Yes;No;3;0,75214;0,93824;0,00000;0,33302;2,45923;class negotiator.group11.Group11@495936237;class negotiator.group1.Group1@1768002004;class negotiator.group5.Group5@181294697;0,76884;0,93824;0,75214
4;3,107;171;Yes;No;3;0,71622;0,84017;0,02611;0,31277;2,30852;class negotiator.group11.Group11@2068045923;class negotiator.group5.Group5@490565100;class negotiator.group1.Group1@2025304238;0,71622;0,84017;0,75214
5;1,962;121;Yes;No;3;0,57896;0,88702;0,06020;0,50033;2,10256;class negotiator.group5.Group5@11721935;class negotiator.group11.Group11@1679189058;class negotiator.group1.Group1@313665313;0,63658;0,57896;0,88702
6;2,249;142;Yes;No;3;0,62195;0,87649;0,00000;0,69075;2,34669;class negotiator.group5.Group5@1464194841;class negotiator.group1.Group1@1099382170;class negotiator.group11.Group11@384071068;0,84826;0,87649;0,62195
